name,effect_zh,url
不休陀螺,在你的回合，当你没有手牌时，抽一张牌。,https://sts.huijiwiki.com/wiki/%E4%B8%8D%E4%BC%91%E9%99%80%E8%9E%BA
两仪,每回合中，你每次打出一张攻击牌，获得 1 点临时敏捷。,https://sts.huijiwiki.com/wiki/%E4%B8%A4%E4%BB%AA
会员卡,所有商品打折 50%！,https://sts.huijiwiki.com/wiki/%E4%BC%9A%E5%91%98%E5%8D%A1
佛珠手链,你在 ? 房间中不会再遭遇常规战斗。,https://sts.huijiwiki.com/wiki/%E4%BD%9B%E7%8F%A0%E6%89%8B%E9%93%BE
共生病毒,在每场战斗开始时， 生成 1 个黑暗充能球。,https://sts.huijiwiki.com/wiki/%E5%85%B1%E7%94%9F%E7%97%85%E6%AF%92
冠军腰带,每当你给予易伤时，同时给予 1 层虚弱。,https://sts.huijiwiki.com/wiki/%E5%86%A0%E5%86%9B%E8%85%B0%E5%B8%A6
冰淇淋,多余的能量可以留到下一回合。,https://sts.huijiwiki.com/wiki/%E5%86%B0%E6%B7%87%E6%B7%8B
冻结之眼,现在观看抽牌堆时，卡牌将按顺序排列。,https://sts.huijiwiki.com/wiki/%E5%86%BB%E7%BB%93%E4%B9%8B%E7%9C%BC
冻结之蛋,每当你获得能力牌时，将其升级。,https://sts.huijiwiki.com/wiki/%E5%86%BB%E7%BB%93%E4%B9%8B%E8%9B%8B
冻结核心,替换破损核心。 如果你在你的回合结束时还有空余的充能球栏位， 生成 1 个冰霜充能球。,https://sts.huijiwiki.com/wiki/%E5%86%BB%E7%BB%93%E6%A0%B8%E5%BF%83
准备背包,在每场战斗开始时，额外抽 2 张牌。,https://sts.huijiwiki.com/wiki/%E5%87%86%E5%A4%87%E8%83%8C%E5%8C%85
勇气投石索,在与精英敌人战斗时，获得 2 点力量。,https://sts.huijiwiki.com/wiki/%E5%8B%87%E6%B0%94%E6%8A%95%E7%9F%B3%E7%B4%A2
化学物X,耗能为 X 的牌的效果数值增加 2 点。,https://sts.huijiwiki.com/wiki/%E5%8C%96%E5%AD%A6%E7%89%A9X
医药箱,可以打出原本不能被打出的 状态牌。 打出状态牌会将其消耗。,https://sts.huijiwiki.com/wiki/%E5%8C%BB%E8%8D%AF%E7%AE%B1
卡戎之灰,每当你消耗一张牌，对所有敌人造成 3 点伤害。,https://sts.huijiwiki.com/wiki/%E5%8D%A1%E6%88%8E%E4%B9%8B%E7%81%B0
历石,在第 7 回合结束时，对所有敌人造成 52 点伤害。,https://sts.huijiwiki.com/wiki/%E5%8E%86%E7%9F%B3
双节棍,你每打出 10张攻击牌，获得一点能量。,https://sts.huijiwiki.com/wiki/%E5%8F%8C%E8%8A%82%E6%A3%8D
发条靴,每当你造成小于等于 5点未被格挡的攻击伤害时，将伤害提升为 5。,https://sts.huijiwiki.com/wiki/%E5%8F%91%E6%9D%A1%E9%9D%B4
古茶具套装,到达休息处后的下一场战斗开始时获得2点能量。,https://sts.huijiwiki.com/wiki/%E5%8F%A4%E8%8C%B6%E5%85%B7%E5%A5%97%E8%A3%85
古钱币,拾起时，获得 300 金币,https://sts.huijiwiki.com/wiki/%E5%8F%A4%E9%92%B1%E5%B8%81
召唤铃铛,获得一个独特的诅咒和 3 件遗物。,https://sts.huijiwiki.com/wiki/%E5%8F%AC%E5%94%A4%E9%93%83%E9%93%9B
咖啡滤杯,你无法再在休息处休息。在每回合开始时获得1点能量。,https://sts.huijiwiki.com/wiki/%E5%92%96%E5%95%A1%E6%BB%A4%E6%9D%AF
圣水,在每场战斗开始时，将 3 张奇迹放入你的手牌。,https://sts.huijiwiki.com/wiki/%E5%9C%A3%E6%B0%B4
地精之角,每当有一名敌人死亡，获得1点能量并抽 1 张牌。,https://sts.huijiwiki.com/wiki/%E5%9C%B0%E7%B2%BE%E4%B9%8B%E8%A7%92
地精容貌,在每场战斗开始时，你拥有 1 层虚弱。,https://sts.huijiwiki.com/wiki/%E5%9C%B0%E7%B2%BE%E5%AE%B9%E8%B2%8C
墨水瓶,你每打出 10 张牌，抽 1 张牌。,https://sts.huijiwiki.com/wiki/%E5%A2%A8%E6%B0%B4%E7%93%B6
壶铃,你现在能在休息处获得力量。（最多3次）,https://sts.huijiwiki.com/wiki/%E5%A3%B6%E9%93%83
外卡钳,在你的回合开始时，不再失去所有格挡，而是失去 15 点格挡。,https://sts.huijiwiki.com/wiki/%E5%A4%96%E5%8D%A1%E9%92%B3
多利之镜,拾起时，从你的牌组中选择一张牌进行复制。,https://sts.huijiwiki.com/wiki/%E5%A4%9A%E5%88%A9%E4%B9%8B%E9%95%9C
大锅,拾起时，制作 5 瓶随机药水。,https://sts.huijiwiki.com/wiki/%E5%A4%A7%E9%94%85
天鹅绒颈圈,你每回合不能打出超过 6 张牌。在每回合开始时获得1点能量。,https://sts.huijiwiki.com/wiki/%E5%A4%A9%E9%B9%85%E7%BB%92%E9%A2%88%E5%9C%88
头环,多多益善。,https://sts.huijiwiki.com/wiki/%E5%A4%B4%E7%8E%AF
奇怪的勺子,应该消耗的牌在被打出时会有 50% 几率只被丢弃。,https://sts.huijiwiki.com/wiki/%E5%A5%87%E6%80%AA%E7%9A%84%E5%8B%BA%E5%AD%90
奇怪蘑菇,当你有易伤状态时，受到的额外伤害从 50% 下降为 25%。,https://sts.huijiwiki.com/wiki/%E5%A5%87%E6%80%AA%E8%98%91%E8%8F%87
套娃,你接下来打开的 2 个宝箱内会有 2 件遗物。 （Boss宝箱除外）,https://sts.huijiwiki.com/wiki/%E5%A5%97%E5%A8%83
